n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,fit_seconds,cv_val_norm,npmi_val_norm,topic_diversity_norm,intra_topic_similarity_norm,inter_topic_separation_norm,composite_score
50,10,20,3,"(1, 2)",0.5792147489221163,0.08557744972859076,0.764252095261804,0.7955295860022996,0.7410083611806234,147.33333333333334,86.84465000000152,1.0,1.0,0.3067161712180153,0.6692491185351324,0.5929310680022392,0.7137792715510775
30,10,10,3,"(1, 2)",0.5674877590345356,0.06620965231353021,0.7876604554865425,0.8031074195541444,0.7298310001691183,313.0,80.51859299999948,0.7816782245942361,0.6559759028747406,0.6809533591236249,1.0,0.325518153371403,0.6888251279928009
30,10,15,3,"(1, 2)",0.5712849349493231,0.07227697186135718,0.7846303888810718,0.7936658954211923,0.7409280141194662,207.33333333333334,77.29259740000028,0.8523703796307429,0.763747792712276,0.6325106833141659,0.5879043254274817,0.5910088037232237,0.6855083969615781
30,10,20,3,"(1, 2)",0.577322216765383,0.07699275209189736,0.7640079112806385,0.7921339154329713,0.7444375157356262,163.33333333333334,76.59690166666648,0.9647666635316111,0.8475127145196051,0.3028123212445167,0.5210377562393442,0.6749719194455288,0.6622202749961212
30,5,20,3,"(1, 2)",0.5726417884450219,0.07889113262716649,0.7577593011474754,0.7896286240458533,0.7473853826522827,166.66666666666666,78.37485560000157,0.8776309679817399,0.881233051202716,0.20291372680635822,0.4116889128071894,0.7454981987090791,0.6237929715014164
50,5,20,3,"(1, 2)",0.5738436929444375,0.07941181763612455,0.7606348246923327,0.7889979699555494,0.7439092397689819,154.0,85.44531256666596,0.9000068655220356,0.8904818153370498,0.24888567165222134,0.38416265548834516,0.66233317441221,0.6171740364823723
50,10,15,3,"(1, 2)",0.5663618480596236,0.07310465171323705,0.7766149140988716,0.79766915708081,0.7275770306587219,195.0,87.40923866666708,0.7607171011219678,0.7784496097361532,0.5043646400450265,0.7626353106878699,0.2715930313641856,0.6155519385910406
30,5,10,3,"(1, 2)",0.5644382086566955,0.06457001131706099,0.7881067509729011,0.7985324111544646,0.7245694001515707,315.6666666666667,81.84359293333364,0.7249046399777379,0.626851475283338,0.688088432498533,0.8003138957129913,0.19963693732534482,0.607959076159589
30,5,15,3,"(1, 2)",0.5618703192351285,0.06571505217691942,0.7829421762208648,0.7912464327914842,0.7404056191444397,212.66666666666666,79.61500866666636,0.677098154005076,0.6471904761280087,0.605520669811433,0.4823016631398646,0.578510758548111,0.5981243443264986
50,5,15,3,"(1, 2)",0.5649961997815193,0.07039135407104005,0.7775033212037198,0.7936401002411931,0.7334777315457662,197.0,86.13233606666715,0.7352927800034408,0.7302541566557185,0.518567897917074,0.5867784391878483,0.41276442423098875,0.596731539599014
15,5,15,3,"(1, 2)",0.5637886318322252,0.0655458691705285,0.7664532076549321,0.7922467796865829,0.7478083173433939,247.0,72.32473079999909,0.7128114458213256,0.6441853315689628,0.34190608218827956,0.5259639598980155,0.7556167050660023,0.5960967049085172
15,10,20,3,"(1, 2)",0.56828629258212,0.07673263053316069,0.7536367919520094,0.7835752545019706,0.7580230832099915,177.66666666666666,72.38464386666601,0.7965445512049822,0.8428922570422044,0.13700581042032525,0.14747654936930962,1.0,0.5847838336073643
15,5,10,3,"(1, 2)",0.5584075260577237,0.05396044994058521,0.777069414269875,0.8001473901269519,0.7358155250549316,367.3333333333333,76.3922344666668,0.6126312139291215,0.4383971717186549,0.5116308844237829,0.8708031344964641,0.468694994555011,0.5804314798246069
30,10,20,1,"(1, 2)",0.5706143291654917,0.07154050002556386,0.7621022252601201,0.7859163066202605,0.7486380139986674,189.0,77.0220047999998,0.8398856886122497,0.7506660750064744,0.27234548928778063,0.24965681585075708,0.7754667931697817,0.5776041723854087
15,5,20,3,"(1, 2)",0.5672144547973187,0.06800026873284622,0.7465808994837452,0.7873718475577514,0.7557837168375651,188.66666666666666,72.24515196666653,0.7765901101789323,0.6877820594423344,0.024200926603775395,0.3131870378844822,0.9464242509515057,0.5496368770122061
50,5,10,3,"(1, 2)",0.5598732535241534,0.06497410538868954,0.7816391453784103,0.7983807754368236,0.7170340617497762,286.0,88.05998463333283,0.6399187127501801,0.6340292712487988,0.584688685274596,0.7936954279242519,0.019357638600057177,0.5343379471595768
15,10,15,3,"(1, 2)",0.5614877237869722,0.06431109987803006,0.7678430396145828,0.7875884511710168,0.7441698908805847,238.0,74.40080219999982,0.6699753613443512,0.6222525127818637,0.36412578486063246,0.32264116953383604,0.6685691252223988,0.5295127907486165
30,10,15,1,"(1, 2)",0.5572306447932774,0.05660985479962657,0.7779824382903575,0.7870603267937236,0.7452608545621237,260.3333333333333,78.55820356666663,0.5907211748177383,0.48545771737689386,0.5262277010583184,0.299590042570208,0.6946698995944909,0.51933330708353
30,5,15,1,"(1, 2)",0.5544874164024847,0.053729346451210656,0.7833597288991557,0.7873336940481366,0.7431734204292297,266.3333333333333,80.60488253333399,0.539650397204496,0.43429215308536656,0.612196222418527,0.3115217457070109,0.6447290553287935,0.5084779147488389
50,10,10,3,"(1, 2)",0.5498557664591394,0.05999850846989238,0.7860479394521948,0.8005166850269451,0.7162249485651652,290.0,89.78273393333195,0.4534228103827456,0.5456493072825624,0.6551735325850169,0.8869218065229142,0.0,0.5082334913546479
