split,topic,documents
test,-1,642
test,0,137
test,2,118
test,1,103
test,3,101
test,13,53
test,5,42
test,9,31
test,48,30
test,6,29
test,4,28
test,17,27
test,56,27
test,7,24
test,19,24
test,21,22
test,28,22
test,11,21
test,15,21
test,54,20
test,24,19
test,8,18
test,10,18
test,23,17
test,33,17
test,16,16
test,12,15
test,27,15
test,35,15
test,39,13
test,52,13
test,59,13
test,20,11
test,40,11
test,67,11
test,14,10
test,30,10
test,37,10
test,18,9
test,41,9
test,66,9
test,22,8
test,38,8
test,32,7
test,36,7
test,55,7
test,70,7
test,71,7
test,26,6
test,31,6
test,43,6
test,46,6
test,49,6
test,50,6
test,44,5
test,47,5
test,34,4
test,61,4
test,63,4
test,69,4
test,51,3
test,72,3
test,42,2
test,53,2
test,57,2
test,62,2
test,25,1
test,58,1
test,64,1
test,65,1
test,68,1
train,-1,2915
train,0,289
train,1,263
train,2,167
train,3,152
train,4,112
train,5,106
train,6,102
train,7,99
train,8,94
train,9,83
train,10,81
train,11,77
train,12,77
train,13,71
train,14,67
train,15,65
train,16,61
train,17,59
train,18,58
train,19,57
train,20,55
train,21,54
train,22,53
train,23,52
train,24,50
train,25,50
train,26,50
train,27,48
train,28,47
train,29,46
train,30,46
train,31,44
train,32,44
train,33,44
train,34,43
train,35,42
train,36,39
train,37,39
train,38,38
train,39,38
train,40,37
train,41,37
train,42,37
train,43,37
train,44,37
train,45,36
train,46,35
train,47,35
train,48,35
train,49,35
train,50,34
train,51,34
train,52,32
train,53,31
train,54,31
train,55,31
train,56,31
train,57,31
train,58,30
train,59,29
train,60,29
train,61,29
train,62,28
train,63,28
train,64,28
train,65,28
train,66,28
train,67,27
train,68,27
train,69,27
train,70,27
train,71,27
train,72,26
train,73,26
train,74,26
train,75,25
train,76,25
train,77,24
train,78,24
train,79,24
train,80,23
train,81,23
train,82,23
train,83,22
train,84,22
train,85,21
train,86,21
train,87,21
train,88,20
train,89,20
train,90,20
train,91,20
train,92,19
train,93,19
train,94,19
train,95,19
train,96,19
train,97,19
train,98,18
train,99,18
train,100,17
train,101,17
train,102,17
train,103,17
train,104,17
train,105,17
train,106,16
train,107,16
train,108,16
train,109,16
train,110,16
train,111,15
train,112,15
train,113,15
train,114,15
train,115,15
train,116,15
train,117,15
train,118,14
train,119,14
train,120,14
train,121,14
train,122,13
train,123,13
train,124,13
train,125,13
train,126,13
train,127,13
train,128,13
train,129,13
train,130,13
train,131,13
train,132,12
train,133,12
train,134,12
train,135,12
train,136,11
train,137,11
train,138,11
train,139,11
train,140,11
train,141,11
train,142,10
train,143,10
validation,-1,816
validation,0,111
validation,1,61
validation,2,51
validation,8,31
validation,4,29
validation,46,27
validation,11,24
validation,33,23
validation,3,19
validation,9,17
validation,27,14
validation,64,14
validation,93,14
validation,18,13
validation,59,13
validation,20,12
validation,102,12
validation,5,11
validation,6,11
validation,12,11
validation,42,10
validation,68,10
validation,69,10
validation,29,9
validation,36,8
validation,60,8
validation,73,8
validation,101,8
validation,24,7
validation,28,7
validation,38,7
validation,83,7
validation,87,7
validation,10,6
validation,26,6
validation,34,6
validation,54,6
validation,70,6
validation,76,6
validation,90,6
validation,143,6
validation,25,5
validation,41,5
validation,43,5
validation,51,5
validation,56,5
validation,57,5
validation,74,5
validation,139,5
validation,7,4
validation,14,4
validation,15,4
validation,22,4
validation,32,4
validation,35,4
validation,50,4
validation,52,4
validation,61,4
validation,65,4
validation,72,4
validation,75,4
validation,84,4
validation,85,4
validation,105,4
validation,124,4
validation,13,3
validation,17,3
validation,30,3
validation,44,3
validation,47,3
validation,62,3
validation,66,3
validation,77,3
validation,82,3
validation,96,3
validation,117,3
validation,132,3
validation,135,3
validation,19,2
validation,23,2
validation,39,2
validation,71,2
validation,86,2
validation,100,2
validation,104,2
validation,111,2
validation,112,2
validation,118,2
validation,123,2
validation,129,2
validation,16,1
validation,21,1
validation,31,1
validation,37,1
validation,45,1
validation,48,1
validation,67,1
validation,78,1
validation,88,1
validation,91,1
validation,95,1
validation,98,1
validation,106,1
validation,108,1
validation,113,1
validation,114,1
validation,116,1
validation,122,1
validation,128,1
validation,130,1
validation,131,1
validation,134,1
validation,136,1
validation,141,1
validation,142,1
